token,symbol,name,exch_seg
11971,GOLDIAM-EQ,GOLDIAM,NSE
31412,MTEDUCARE-BL,MTEDUCARE,NSE
8125,RPSGVENT-BL,RPSGVENT,NSE
18154,HATHWAY-EQ,HATHWAY,NSE
1232,GRASIM-EQ,GRASIM,NSE
5861,IBULHSGFIN-NV,IBULHSGFIN,NSE
11764,782AS32A-SG,782AS32A,NSE
11536,TCS-EQ,TCS,NSE
8360,728JH37-SG,728JH37,NSE
19214,HMVL-BL,HMVL,NSE
14773,TARMAT-BL,TARMAT,NSE
23804,BSLGOLDETF-EQ,BSLGOLDETF,NSE
2019,662HR41-SG,662HR41,NSE
11751,IRFC-NI,IRFC,NSE
20314,NRAIL-EQ,NRAIL,NSE
14268,77AP30-SG,77AP30,NSE
12206,APARINDS-BL,APARINDS,NSE
10912,758GA37-SG,758GA37,NSE
18007,BPF02D3D-MF,BPF02D3D,NSE
208,MASFIN-BL,MASFIN,NSE
4201,SOMATEX-EQ,SOMATEX,NSE
3496,TIRUMALCHM-EQ,TIRUMALCHM,NSE
383,BEL-EQ,BEL,NSE
13423,ELIN-EQ,ELIN,NSE
12361,EXIDEIND-BL,EXIDEIND,NSE
16897,SFMP27DR-MF,SFMP27DR,NSE
5526,705TS35-SG,705TS35,NSE
8208,RICHA-SM,RICHA,NSE
30089,ORIENTCEM-EQ,ORIENTCEM,NSE
5501,YUKEN-EQ,YUKEN,NSE
12185,HNDFDS-BE,HNDFDS,NSE
13724,JHS-BL,JHS,NSE
21529,SREIBNPNCD-NS,SREIBNPNCD,NSE
14331,SMSPHARMA-BL,SMSPHARMA,NSE
6062,LICNETFGSC-EQ,LICNETFGSC,NSE
6851,SMLT-BL,SMLT,NSE
2531,CONTI-SM,CONTI,NSE
5010,GOENKA-BZ,GOENKA,NSE
14677,GUJAPOLLO-EQ,GUJAPOLLO,NSE
1964,TRENT-EQ,TRENT,NSE
14112,756TS48-SG,756TS48,NSE
10923,753BR32-SG,753BR32,NSE
595,CARBORUNIV-EQ,CARBORUNIV,NSE
277,GICRE-EQ,GICRE,NSE
13224,SULA-BL,SULA,NSE
5295,PRITIKAUTO-BL,PRITIKAUTO,NSE
2265,705WB31-SG,705WB31,NSE
21823,CADSYS-SM,CADSYS,NSE
21047,788GA30-SG,788GA30,NSE
16719,ALMONDZ-EQ,ALMONDZ,NSE
11195,INDIGO-EQ,INDIGO,NSE
22043,649RJ30-SG,649RJ30,NSE
11903,IPSL-SM,IPSL,NSE
10845,771KL42-SG,771KL42,NSE
14314,TTL-EQ,TTL,NSE
13148,ICICI10GS-BL,ICICI10GS,NSE
4060,ALPSINDUS-EQ,ALPSINDUS,NSE
315,704WB35-SG,704WB35,NSE
6705,PAYTM-EQ,PAYTM,NSE
12474,IIFL-BL,IIFL,NSE
10567,364D030823-TB,364D030823,NSE
13088,AIAENG-BL,AIAENG,NSE
22159,708CG30-SG,708CG30,NSE
13305,CENTURYPLY-EQ,CENTURYPLY,NSE
8496,739JK37-SG,739JK37,NSE
10313,AURUM-BL,AURUM,NSE
22099,729UP29-SG,729UP29,NSE
1838,KARURVYSYA-EQ,KARURVYSYA,NSE
14418,ASTRAL-EQ,ASTRAL,NSE
14228,IMC1-N3,IMC1,NSE
5968,709AP39-SG,709AP39,NSE
5419,697PN31-SG,697PN31,NSE
12779,SSWL-BL,SSWL,NSE
11704,783TN42-SG,783TN42,NSE
12853,UCOBANK-BL,UCOBANK,NSE
8683,729GJ32-SG,729GJ32,NSE
29012,SUNCLAYLTD-BL,SUNCLAYLTD,NSE
11560,HDFC1359DG-MF,HDFC1359DG,NSE
10233,765GJ29-SG,765GJ29,NSE
12098,KEYFINSERV-BL,KEYFINSERV,NSE
104,SHAREINDIA-EQ,SHAREINDIA,NSE
15062,KOTAKPSUBK-BL,KOTAKPSUBK,NSE
13748,GTLINFRA-BL,GTLINFRA,NSE
19025,KIRLOSIND-EQ,KIRLOSIND,NSE
1805,KABRAEXTRU-EQ,KABRAEXTRU,NSE
14791,SPARC-BL,SPARC,NSE
13001,DHARMAJ-EQ,DHARMAJ,NSE
25897,MINDACORP-EQ,MINDACORP,NSE
99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,NSE
2859,RAYMOND-EQ,RAYMOND,NSE
15412,NESCO-BL,NESCO,NSE
13672,SFMP74GD-MF,SFMP74GD,NSE
31483,NHPC-N2,NHPC,NSE
7306,VISESHINFO-BE,VISESHINFO,NSE
22120,715TN27-SG,715TN27,NSE
9914,78AP31A-SG,78AP31A,NSE
15311,SEPC-BL,SEPC,NSE
5676,687JH31-SG,687JH31,NSE
10478,807WB38-SG,807WB38,NSE
21897,678RJ23-SG,678RJ23,NSE
18324,LGBBROSLTD-BL,LGBBROSLTD,NSE
12663,AMJLAND-BL,AMJLAND,NSE
3842,MC1DD-MF,MC1DD,NSE
7542,TREJHARA-BL,TREJHARA,NSE
18422,ASIANHOTNR-EQ,ASIANHOTNR,NSE
9917,NEOGEN-EQ,NEOGEN,NSE
20095,TASTYBITE-BL,TASTYBITE,NSE
3641,676RJ31-SG,676RJ31,NSE
18795,SGBSEP24-GB,SGBSEP24,NSE
1001,SHRIRAMFIN-YL,SHRIRAMFIN,NSE
22080,667RJ50-SG,667RJ50,NSE
6483,70GA31-SG,70GA31,NSE
13630,364D040124-TB,364D040124,NSE
